AGL23	BIOGENESIS OF ORGANELLES
WAVE1/SCAR1	ARP2/3
CPXPG/CPXPX SITES	IN WILD-TYPE
TALE PROTEINS	DEVELOPMENT
SKP1	POSTTRANSCRIPTIONAL GENE SILENCING MACHINERY
JASMONIC ACID (JA)	DIVERSE PLANT BIOLOGICAL PROCESSES
DECARBOXYLASE GENES	METABOLITE PROFILES
SEPS	ONE- AND THREE-HELIX ANTENNA PROTEINS
DHAD	AT3G23940
CA2+	PLDBETA
UAP56	PHOTOMORPHOGENESIS
CPNIFS	SE ACCUMULATION
ARS4	ARSENIC TOLERANCE
BOS4	P. SYRINGAE PV. TOMATO RESPONSE
R3 MYBS TRY/CPC	TRICHOME DEVELOPMENT
FLC	FLOWERING
MAP65-2	ROOT TIP AND ELONGATION ZONE
AGL20	LONG-DAY AND CONSTITUTIVE PATHWAYS OF FLORAL INDUCTION
GFA2	MITOCHONDRIA
SUBCOMPLEX A	CYANOBACTERIA
CYCA2;3	ENDOCYCLES
ANAC071	XTH19
GENE	METABOLIC NETWORK OF H4PTEGLUN-BOUND ONE-CARBON UNITS
TRY	GL1 GL3-SST INTERACTION
ATRBL11	PLASTIDS
CARK3	PMEIL
ODR1	BHLH57
F-BOX RECEPTORS	MSG2
NMT3	PC HOMEOSTASIS
WRKY71	LFY
AP(4)A	BY JAR1
CDKG2	SEED & FLOWER
FRA8	GOLGI
N-TERMINALLY TRUNCATED EYFP-CENH3(C)	ARABIDOPSIS CENTROMERES
ATMAP65-2	CYTOKINESIS
SAUR41 SUBFAMILY GENES	DURING STOMATAL FORMATION
GFP-SR45	NUCLEI
CBF	WILD-TYPE LEVELS IN SFR6-1
SHB1	LARGE SEED CAVITY AND ENDOSPERM GROWTH
WOX	EMBRYONIC POLARITY
PTB	NUCLEUS, CYTOSOL AND PROCESSING BODIES
KIN10	PHOSPHORYLATION OF ATG1
REVOLUTA	ADAXIALIZATION
BIK1	FLS2
ATKPNB1	CYTOPLASM AND NUCLEUS
AT-IMPALPHA	TO NLSS RECOGNIZED BY M-IMPBETA
TMM	FLP
GL3	TTG1
GENE	650 AND 800 KD INTERMEDIATES
GENE	OVULE TARGETING
PIF3	
CHX20-RFP	ENDOPLASMIC RETICULUM
UPS	PROTEOLYTIC EVENTS
ESR	PATHOGEN RESISTANCE
TRY	TRICHOME NUCLEI
ATINH3	PP1C PHOSPHATASE ACTIVITY
MTDNA REARRANGEMENTS	EXPRESSION OF GENES
PLDZETA2	INHIBITION OF PIN2 CYCLING
SPA1	HFR1
FUSARIUM PROTEOMES	SCOOP-LIKE SEQUENCES
MUTATION	ARABINOSE-CONTAINING PECTIC CELL WALL POLYSACCHARIDES AND ARABINOGALACTAN PROTEINS
KAN4	FLAVONOID PATHWAY
PHYTASPASE	YVAD, IETD
BZR1	BR SIGNALING
CERK1	IMMUNITY TO BACTERIAL INFECTION
DAG1	VASCULAR TISSUE OF FLOWER AND MATURING FRUIT
EAP3	RESISTANCE TO ROOT-PENETRATING FUNGUS
CLO-3	MICROSOMAL AND CHLOROPLAST ENVELOPE FRACTIONS
ASKALPHA	THR-467
FHY3/FAR1	PHYA SIGNALING
CER2 MUTANT	STEM
CYP85A1	CASTASTERONE
LESION MIMIC MUTANTS	SPONTANEOUS CELL DEATH
CSN6A	CSN5
SPA PROTEINS	
AKIN10	SEED ABORTION
LABELED PRECURSOR PROTEIN	STROMA OF SPINACH CHLOROPLASTS
MUR3	XYLOGLUCAN GALACTOSYLTRANSFERASE
ATDELLA	ATGID1
NUB	JAG
GTR	ANTIFUNGAL DEFENCE
J3	PKS5
ATAIP1-1	ORGANIZATION OF ACTIN CYTOSKELETON
COI1	EXPRESSION OF 84% OF 212 GENES INDUCED BY JA
ULT1	DEVELOPING STAMENS, CARPELS AND OVULES
PLASMODESMATA	SIMPLE AND BRANCHED
ARRS	WUS EXPRESSION
CLV2	CRN
ALPHACP	CHLOROPLASTS
UV-B	209 GENES
MYO11C1/MYO11C2	ACTIN ORGANIZATION
AGL15 & AGL18	COMPLEX REGULATORY LOOP
RISP	TOR/S6K1
ABA	RAF36 DEGRADATION
KEG	ABA SIGNALING
GENE	DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE MRNA
PTLPD1	ANTHOCYANIN ACCUMULATION
LAC2	LIGNIN DEPOSITION
CYP85A1	50% OF FEMALE GAMETOPHYTES
14-3-3 PROTEINS	NITROGEN AND CARBON METABOLISM
METHYLATION	INTERMEDIATE GENE SILENCING
CAX3	SENSITIVE TO EXOGENOUS CA2+
ROS FORMATION	ATCRY2
CELL PLATE	CELL DIVISION
BES1	IDENTIFIED
PROTEINS	METABOLIC AND REGULATORY FUNCTIONS
HEC1	AUXIN
GENE	MORPHOGENESIS OF SYNAPTONEMAL COMPLEX
HALLIMASCH	CELL CYCLE
K252A	FLG22-INDUCED ANAC042 EXPRESSION
JA	JA-DEPENDENT RESPONSES
GENE	GENE(S) INVOLVED IN TMV AND CMV MULTIPLICATION
ELMO1	PECTIN MODIFICATION AND CLEAVAGE
TOAD2	INTERCELLULAR SIGNALS
ATAIRP1	ABA AND DROUGHT STRESS
ATAAS	METHYL JASMONATE TREATMENT AND WOUNDING
ATRX	H3.3 DEPOSITION
ATPDS5	ATSMC5/ATSMC6 COMPLEX
NOD26	PROTEIN
PLUTO	URACIL, ADENINE, GUANINE
CYP79F2	LONG-CHAIN ALIPHATIC GLUCOSINOLATES
TAX1	CONTINUOUS LIGHT
ATMBD5	TWO PERINUCLEOLAR CHROMOCENTERS
CHROMODOMAINS	NON-NUCLEAR FUNCTION IN POST-TRANSLATIONAL TARGETING
RSW1	RSW1 MUTANT
PLANT CLOCK	HIGHLY INTERCONNECTED, COMPLEX REGULATORY NETWORK
TIP1;2	TONOPLAST
CP	PHOSPHOLIPIDS
CLONED RPS2 ALLELES	PO-1 ALLELE CAN FUNCTION IN COL-0 BACKGROUND
ATMYB14	ARTIFICIAL MICRORNA
MULTI-UBIQUITIN CHAINS	ARRESTED SEEDS
ATCBC	ATSE
ATSAT32	EXPRESSION OF SALT-RESPONSIVE GENES
SP2 EXPRESSION	CHANGES IN KAT1 DISTRIBUTION AND MOBILITY
HP30-2	PRAT COMPONENT
CPSRP54	CHLOROPLAST RIBOSOMES
ETHYLENE	HISTONE H3K23 ACETYLATION
CRR PGR5	CYCLIC ELECTRON FLOW ACTIVITY
DGL	JASMONATE BIOSYNTHESIS
XRCC1	TRANSIENT OR STABLE TRANSFORMATION FREQUENCIES
MIOX4	MI TO ASA
CARRIER	ALL PLANT TISSUES
ATMVD1	55% IDENTITY WITH YEAST, HUMAN AND RAT MVDS
ERG6	C24-NON-ALKYLATED STEROLS
GENE	METABOLITE DEGRADATION
ATSWI3B	ATSWI3A
ATTRP1	DNA
DEGRADATION OF LIPID PEROXIDES	REACTIVE CARBONYLS
ODB1	WHY2
KEA3	THYLAKOID MEMBRANE
UMAMITS	TISSUES FROM WHICH AMINO ACIDS ARE EXPORTED
ATTK1A/ATTK1B GENES	THYMIDINE KINASE ACTIVITY
AGD2	NPR1 FOR HR RESPONSE
AUXIN	AUXIN TRANSPORT INHIBITORS
GENE	POLYSACCHARIDE COMPOSITION
TRANSGENIC PLANTS	BIOTIN-DEFICIENCY SYMPTOMS
ARA6	RAB5 GTPASES
MAT3	POLLEN TUBE GROWTH
TOC 	RECEPTORS
ATGH3.12/PBS3	SALICYLIC ACID
ERECTA	EPFS
HDA6	ACETYLATION/DEACETYLATION
NRPD1	RDM4
GPR1	POLLEN TUBE GROWTH
LEDET2	TWO SEPARATE 5ALPHAR ACTIVITIES
UGT76C1	N(7) AND N(9) POSITIONS OF CYTOKININS
GENE	TRICHOME PATTERNING
ATTIL1-1/2	CHLORIDE/SODIUM
CCA1	SVP ABUNDANCE
JMJ14 PROTEIN	MERISTEM
LEC2	YUC2
FERTILIZATION INDEPENDENT ENDOSPERM	SEED DEVELOPMENT
SIG GENES	REGULATORY SIGMA FACTORS
GENE	SINGLE COPY
ATALN	PROTEIN
R226	FUCTA ACTIVITY
ATCDP1	CHLOROPLAST DIVISION SITE POSITIONING SYSTEM
RSW9	DRP1A
AGL15	DTA4
KNOX GENES	AS1 AND AS2
MPK3	MPK6
HYL1	DSRNA
AG	STAMEN IDENTITY
ATXTH21	GROWTH OF PRIMARY ROOTS
GPAT9	ER
SWA2	UBIQUITOUSLY
FUSION MUTANTS	RATE OF CHLOROPHYLL EXTRACTION
HEI10	CHROMOSOME AXES AND SYNAPTONEMAL COMPLEX CENTRAL ELEMENT
LIGHT	HRT-MEDIATED HR & RESISTANCE
SLR1652	PHYTOL KINASE
MEKK1	MKK1
SRX	ATP HYDROLYSIS
FUT1	MUR3
SULFATE TRANSPORTERS	SULFATE TRANSLOCATION IN THE PLANT
LINKAGE	2'-PHOSPHATE GROUP
NADPH	26 MICROMOL MIN(-1) MG(-1) OF PROTEIN
KNAT1	HOMEOBOX GENE
ROSETTE LEAVES	AAO3 MRNA
ATELO2	KCR1
ATBTF3	EIF4E
KNAT PROTEINS	POST-TRANSCRIPTIONAL CONTROL
ROC1	PROTEIN
GONST3	GDP-MANNOSE
LID	UBIQUITIN-DEPENDENT DEGRADATION
ATOGG1	OTHER EUKARYOTIC OGG1 PROTEINS
ATLSG1-2	PRE-60S SUBUNIT MATURATION
ARABIDOPSIS MUTANT	ADO-MET LEVELS
COI1	RESISTANCE TO PATHOGENS
PDV2	ARC6
REDOX CHANGES	STOMATAL CONDUCTANCE
RAR1	COP9 SIGNALOSOME COMPONENTS
GH3.6	IAA-ASP IN DFL1-D
PRE-MRNA SPLICING	PLANT DEVELOPMENT
CSLC4	FUT1
GENE	CELL WALL SYNTHESIS
MB	GLOBAL GENE EXPRESSION
GENE	CA, MN, ZN ACCUMULATION
ATTPC1	SUCROSE-INDUCED LUMINESCENCE
ATSDT	RESIDUES IMPORTANT FOR SUBSTRATE RECOGNITION
RLP23	S. SCLEROTIORUM
CYCH;1	CDKDS
ARGONAUTE	AGOS
RDR6	AS1
14-3-3 UPSILON	EDE1
WAV3 WAVH1 WAVH2 TRIPLE MUTANTS	MARKED ROOT GRAVITROPISM ABNORMALITIES
KU80	CNHEJ
GABA	ABIOTIC STRESSES
GENE	FLOWERING TIME
ATBRN2	FLOWERING TIME
CP	PA BIOSENSOR
TSK	NUCLEAR LEUCINE-GLYCINE-ASPARGINE (LGN) DOMAIN PROTEIN
MAH1	ALKANES
PHP	H3K27ME3
P4H	POLY(L-PROLINE)
RPN12A	GROWTH RESPONSES TO EXOGENOUS CYTOKININS
IPGA1	REGULATE MICROTUBULE ORGANIZATION
GAPS	PROTEOMIC ANALYSIS
PHYTOCHROME	PIFS
GENE	PROTEINS INVOLVED IN PLASTID TRANSCRIPTION
ZIPPY	ARGONAUTE7
OTHER PROTEINS	MORE STABLE MODIFICATIONS
LUH	MUCILAGE EXTRUSION DEFECT
SAUR62/75	DEESTERIFIED AND ESTERIFIED PECTINS
ATALDH10A8	GABA
ATJ8	GLOBAL STRESS RESPONSE
ATMUS81	GAMMA RADIATION AND METHYL METHANESULFONATE TREATMENT
ATMGT1	MG(2+)
9-KOT	BACTERIAL INFECTION
SPEECHLESS	EPF2
PHYA	POSITIVE RED-LIGHT-BASED PHOTORESPONSE
ABI2	ABI TRANSCRIPTION FACTORS ABI3/4/5
TWD1	ATFKBP42
PAPK1	PLASMODESMATA
GP ALPHA1	MEMBRANE TRAFFICKING
MIR159	MYB33 AND MYB65
TCP4	SAUR16 AND SAUR50 EXPRESSION
FHY1	INDEPENDENTLY OF PHYA
SSI1	RESISTANCE TO PSEUDOMONAS SYRINGAE
CYSTM	FIVE CHROMOSOMES
MUSE13	RPS2
NUP82 NUP136	BENZOTHIADIAZOLE-INDUCED RESISTANCE
TTM1	TOBAMOVIRUS MULTIPLICATION
ATTAD2	GROWTH
ATSRBP1	SINGLE-STRANDED SIRNA
STOP1	GENE EXPRESSION
RP8	RPOA TRANSCRIPT PROCESSING
PIF1	PIF3
AUXIN	CYTOKININ REGULATION
YEAST ACOAT MUTANT 	TUP5
PHYTOCHROME B	CO
RBR	LATE EMBRYONIC GENES
CLA1	DEVELOPING PHOTOSYNTHETIC AND NON-PHOTOSYNTHETIC TISSUES
ROP	RICS
PAM71	MANGANESE PASSAGE
AUXIN AND ETHYLENE	LIGHT
DRD1	EXO-PDSI SELF-SILENCING
FRI	FRL1
MGDG	AKR2A RECEPTOR
FNR, FERREDOXIN, NADP+	AT TROL
AVRRPT2	RPM1 ACTIVATION BY AVRRPM1 OR AVRB
HAC1	ARSENITE
RAP2.6	DWARF PHENOTYPE
HIP1.3	CYTOSOL & CHLOROPLAST ENVELOPE
ADP-GLUCOSE PYROPHOSPHORYLASE	3-PHOSPHOGLYCERATE AND PHOSPHATE
ACLA	ACLB
CYP735AS	ISOPENTENYLADENINE NUCLEOTIDES
RPN5A	EMBRYOGENESIS
MET	PHENOTYPE OF ATMS1-1
RECEPTOR	BINDING AFFINITY AND LIGAND SPECIFICITY
GENE	GREEN FLUORESCENT PROTEIN
AMT1;3	AMMONIUM INFLUX
PBL2	AVRAC DETECTION
ARS5	ALPHA SUBUNIT F (PAF1) OF 26S PROTEASOME COMPLEX
HDA19	WRKY38/62 ACTIVATION
CBP/P300-LIKE PROTEINS	FLC REPRESSION
CHIMERIC PSBH CONSTRUCT	PHOTOAUTOTROPHIC PLANTS
FTSH12	SCY2
STEROLS	DETERGENT-INSOLUBLE MEMBRANES
HPPR3	TYROSINE TO PHPL
LRXS	PLANT GROWTH
AHNCED1	NAA
BAM3	PROTOPHLOEM DIFFERENTIATION
UGT72B1	LIGNIFICATION
AAT	CLONE
BASS2	
ATPAKRP2	INTERZONAL MTS
ARABIDOPSIS ACBP6	PHOSPHATIDYLCHOLINE LEVELS
PLASTID SIGNALS	PHOTOSYNTHESIS ASSOCIATED NUCLEAR GENES
SHL	H3K27ME3
PHOT1	TRANSPIRATION
GPAT5/CYP86A1	C20/C22 OMEGA-HYDROXYACIDS/ALPHA,OMEGA-DIACIDS
CPHSC70	IMPORTING PRECURSORS
AS PATHWAYS	TAA
HSP60S	CCMFC INTRON
SEQUENCING MASS SPECTROMETRY	ACTIVITY OF PARTICULAR PROTEASE
GFS9	FLAVONOID TRANSPORT
STK	CKX7
CO	FT
PRH-19/PRH-26/PRH-43	35S-LABELED SUBSTRATE TO ACID-VOLATILE 35S-SULFITE
ALP1	PCG AND TRXG COMPONENTS
CML15/16	HYDROPHOBIC RESIDUES
ATTPC1	PLASMA MEMBRANE S-TYPE ANION CHANNELS
APO1	INCORPORATION OF [4FE-4S] CLUSTERS
FIGL1	CO FORMATION
WAL	F-ACTIN
NO	CGMP FORMATION
ATPRD1	ATPRD3
APC/C	RNA POLYMERASE II
PD1	PHENYLPYRUVATE
DEK3	STRESS TOLERANCE
IDL6	ADPG2 EXPRESSION
VPT1	PI AS ANION
GFP-ATAGP17	HYDROPHOBIC INTERACTION CHROMATOGRAPHY, SIZE EXCLUSION CHROMATOGRAPHY, REVERSE PHASE HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY
AGL2	DNA IN VITRO AS A DIMER
PIMT	ISOASP
PIN2	5PTASE13 DEFICIENCY
DET1	DDB1
COG0212	THIAMIN METABOLISM/SALVAGE/DETOXIFICATION
HLP	L14 PROTEINS
BHLH48/BHLH60	HYPOCOTYL ELONGATION
SEC/SPY	EMBRYOGENESIS
NADH-GOGAT GLT1	ROOTS
ATAGP30	PHYTOHORMONE ACTIVITY
ATM	CNHEJ
VND6	METAXYLEM VESSEL FORMATION
NEAR-NULL MAGNETIC FIELD	ARABIDOPSIS FLOWERING
DELLA	SCL3 FOR IDDS
ATNRP1	LOW TEMPERATURE
SCL28	PROGRESSION THROUGH G2/M
RECOMBINANT PROTEIN	FARNESYLATED CAAX TETRAPEPTIDE
SBTS	PME17
CYCLIN-DEPENDENT KINASE A1	DEFECTS
RPL10	LIMYB
IRE1A	BZIP60 MRNA SPLICING
FLD-2	EMF1 PHENOTYPE
F-BOX MUTANT PLANTS	RD22
KAN	ABAXIAL IDENTITY
ATP	LOSS OF CEF1 THROUGH NDH
VDAC4	LEAF DEVELOPMENT
CAS-C1	SCN1
PEX10	INTEGRAL MEMBRANE PROTEIN
WOUNDING/INFECTION	AT1G20510
TIP1;3	MATURE POLLEN
EGR-MASP1 SYSTEM	MICROTUBULE RECOVERY AND STABILITY
PFS2	DEVELOPING PRIMORDIA AND DIFFERENTIATING ORGANS
CYS-69 AND CYS-62 MUTATIONS	ERQC
DAR1	TCP14/15
MDL1	MDL2
GABA-TRANSAMINASE INHIBITOR	GROWTH
MINC	HIGHER PLANTS
E2F	DPA AND DPB
TCP20	DEVELOPMENTAL PROCESSES
DIX DOMAIN	UNICELLULAR EUKARYOTES
DDM AND SOM MUTATIONS	SGS MUTATIONS
S-METHYL-MET CYCLE	GUARD AGAINST DEPLETION OF FREE MET POOL
FLC	FLOWERING
CAX1	YEAST MUTANTS
CGR2/CGR3	PECTIN METHYLESTERIFICATION
FKBP15-2	PCAVR3A12
TIC55	PROTEIN IMPORT TO REDOX STATE
SPL8	STAMEN FILAMENT ELONGATION
RLK902/RKL1	SIGNAL TRANSDUCTION PATHWAY
ERF102-ERF105	HORMONES AND ABIOTIC STRESSES
ATLPEAT1	LPE, LPA
SEX4	DUAL SPECIFICITY PROTEIN PHOSPHATASE
ATRIBA2/3	DHBPS AND GCHII
HIS-TAGGED RECOMBINANT PROTEINS	AFFINITY CHROMATOGRAPHY
ATPLDDELTA	VASCULAR TISSUES OF COTYLEDONS AND LEAVES
SA	REQUIREMENT FOR LIGHT
AIL6/PLT3	SHOOT APICAL MERISTEM ACTIVITY
CUL3A	HYPOCOTYL GROWTH
T-DNA INSERTIONAL MUTAGENESIS	GENES WITH ESSENTIAL FUNCTIONS
AIR SYNTHETASE	PEPTIDE
KCBP	GLOBULAR DOMAIN
SHY2-2 GAIN-OF-FUNCTION MUTATION	SHY2/IAA3 INTERACTION WITH TIR1
AT-CDA1	CHROMOSOME 2
GPI-ANCHORED PROTEINS	GENERATION OF SPECIALIZED CELL SURFACES
RTE1	ETR1
T-DNA INSERTION LINES	FOR FUNCTION IN RNA EDITING
SBT3.3	OXI1 KINASE GENE EXPRESSION
A. THALIANA MUTANT	CIPROFLOXACIN
PIP5K4	APICAL CELL WALL THICKENING
GENE	GLUCOSINOLATES
CCSX	MATURATION OF PERIPLASMIC C-TYPE CYTOCHROMES
CAX2	H+/CA2+ ANTIPORTER
APL	XYLEM DIFFERENTIATION
NRT2 PROTEINS	HATS
UBX-CONTAINING PROTEIN	MALE GAMETOPHYTE DEVELOPMENT
ATTFIIB3/ATPBRP2	ATTFIIB1
ALB3	CP43
ATFH8	ROOT HAIR ELONGATION
NCED5	ABA PRODUCTION AFFECTING PLANT GROWTH AND WATER STRESS TOLERANCE
PIFS	GR24
U-BOX PROTEINS	PROTEIN DEGRADATION
TCP14	CYCLIN B1;2 TRANSCRIPTIONAL ACTIVITY
BHLH64	FLOWER DEVELOPMENT
TAG1	TGACCC
ACR4	DEVELOPING TISSUES OF SHOOT
STV1 MUTANT	GYNOECIUM PATTERNING DEFECTS
GAPCPS	GENE EXPRESSION
GAT DOMAIN	NH(3)
MASS SPECTROMETRY	HCF173, CP33C, AND SRRP1 BOUND TO PSBA MRNA
BCAT4	TRANSCRIPTION
TRANSGENIC TISSUES	ENZYME IS LIMITING FOR 18:3 PRODUCTION
SEMISWEET1	SUCROSE TRANSPORT
GENE	PHYTOHORMONE-RELATED GENES
LBD18/ASL20	EXP14
UPF1	DEVELOPMENT
PML4	ROOT GROWTH
CPN20	CHLOROPLAST
LHP1	HINGE REGION
PHOSPHORELAY	RESPONSE REGULATOR PROTEINS
RECEPTOR	PP2C
DCL3	DSRNA
HCF107	INTERCISTRONIC PROCESSING
N	PLANT GROWTH
PCAP1	CA(2+)-CALMODULIN COMPLEX
CKS	CKX7
BAM2	KCL
SUR1	"HIGH-AUXIN" PHENOTYPE
GNOM	INTERNALIZATION OF PIN-FORMED AUXIN TRANSPORTERS
GENE	EPIDERMAL CELLS
ERF96	EXPRESSION OF JA/ET DEFENCE GENES
ATTAT2	HPP TRANSAMINATION
SCR	SUGAR TRANSPORT
PIE1/HTA9 HTA11/SEF	SAR MARKER GENES
KAT2 MUTANT	EXOGENOUS SUGAR
RPG1 MUTANT	SPOROPOLLENIN DEPOSITION
DROUGHT/HIGH SALINITY	EXPRESSION OF GENES
EXPRESSION DATA	FIVE DISTINCT GROUPS
CUTICULAR LAYER	FORMATION OF DIFFUSION BARRIER
HTD1	HSP14.7, HSP21, AT2G03020 & WRKY28
RVE	LNK
ATMGT FAMILY	MG(2+) TRANSPORT SYSTEM
ADC1	SEED DEVELOPMENT
CERAMIDE PHOSPHORYLATION	PLANT PCD
PAPP5	MG-PROTOIX
TRYPTOPHAN PATHWAY	DEFECTIVE GENE ENCODING AS BETA SUBUNIT
P. SYRINGAE	ON NATA1 MUTANT
SIRNAS	DNA METHYLATION
ATPUB48	ATPUB47
MKKK20	MPK18 PHOSPHORYLATION
ZWI	TRICHOME MORPHOGENESIS
MRH2	POLYMERIZED ACTIN
CLV1	CLV3
AGC1.5	AGC1.7 ANTISENSE CONSTRUCT
GENE	STRUCTURE
UPRT	SINGLE NUCLEAR GENE
BEARSKIN1	GH28
AUXIN	POSITIONAL INFORMATION
CML38	MRNP COMPLEXES
ENDOPLASMIC RETICULUM SYSTEM	INTERNAL MEMBRANES
SPSA1/SPSC DOUBLE MUTANT	
PIP5K3	CATALYTIC ACTIVITY
CYPS	REDOX REGULATION
VND7	OTHER VND PROTEINS
HSP101	BABA-INDUCED THERMOTOLERANCE
FLS2	BACTERIAL EPITOPES
FLL2	EXPRESSION LEVEL OF GENES INVOLVED IN SUGAR METABOLISM
ATRBCX2	RELATIVELY STABLE LEVEL
D5RF	STABLE TRANSFORMATION EFFICIENCY
GENES	PROCESS
SYT1-RNAI PLANTS	CALCIUM-DEPENDENT FREEZING TOLERANCE
DET1, COP1, COP9	DEVELOPMENTAL PROGRAM GENES
GEX1	CYTOPLASMIC DOMAIN
OVEREXPRESSION	AUXIN TRANSPORTER ACTIVITY
ATSF1	DEVELOPMENTAL DEFECTS
ATPPR4	TRANSITION STAGE OF EMBRYO DEVELOPMENT
CA2+	PLDGAMMA
PIF3	ANTHOCYANIN BIOSYNTHETIC GENE PROMOTERS
MIR156	JUVENILE-TO-ADULT TRANSITION
CORK1	MALECTIN DOMAIN
ATYAK1	ABA SIGNALING
PAR1/2	PLANT DEVELOPMENT
GLRS	[CA(2+)]CYT VARIATIONS
RECQ HELICASES	DNA STRUCTURES
PROCUSTE1	MICROTUBULE ORIENTATION
PHS1	MPK12
NMT3	FERTILITY
ATCBL-INTERACTING KINASE	MN(2)+
TPL/TPR COREPRESSORS	HORMONE SIGNALING, STRESS RESPONSES, FLOWERING TIME
NO	PHENOTYPE OF MUTANT WITHOUT FUNCTIONAL CNGC2
ATPAP2	PROTEIN IMPORT KINETICS
ATCSP41B	ABA SIGNALING
RBPG1	BR-0 ACCESSION
ATHMA1	HETEROLOGOUS EXPRESSION SYSTEM
GENE	PHOTOPERIOD PERCEPTION
CYCH;1	DEHYDRATION
CHIMERIC REPRESSOR	LONGITUDINAL ELONGATION
GAMMA-TMT	SPECTRUM OF ACCUMULATED TOCOPHEROLS
ATCKA1	CKII CATALYTIC SUBUNIT
RAD51	SDSA
SDC	PYRIDOXAL 5'-PHOSPHATE
COG2154 PROTEINS	MANY PLANT AND MICROBIAL GENOMES
PSGA2OX1	GST FUSION
UGT74F2	ARABIDOPSIS
ATWRNEXO-P	EXONUCLEASE DOMAIN OF HWRN-P
NF-YCS	HYPOCOTYL ELONGATION
RNS2	INTRACELLULAR
PGN	MITOCHONDRIA
BR RECEPTOR MUTANT	OVEREXPRESSION OF YUCCA GENE
SARD4	P2C
PNM1	NAP1
HEMA GENE	GLUTAMYL-TRNA REDUCTASE
AUXIN GRADIENTS	PRIMORDIUM POSITION
ATG MUTANTS	PCD
MYB40	PHT1;1
HUB1	SNC1
EXO70A1	POLLEN-PISTIL INTERACTIONS
SMO2	REMOVAL OF FIRST AND SECOND METHYL GROUPS AT C-4 POSITION
OHP1	PSII CORE PROTEIN FUNCTION
THI2.1	SORBITOL
CBF3/DREB1A	CBF2
GLPS	PHYSIOLOGICAL/DEVELOPMENTAL PROCESSES/STRESS RESPONSE
RXC2	MONOGENIC RESISTANCE
MYB23	CELL SPECIFICATION PROCESS
ATU2AF35	ATP DEPLETION
ATSFGH TRANSCRIPTS	PLANTS AND CULTURES OF ARABIDOPSIS
ARABIDOPSIS DICER-LIKE MUTANTS	PVX
GALPHA	BIOTIC AND ABIOTIC STRESS RESPONSES
BSK3	BR SIGNAL TRANSDUCTION
JMJ24	H3K9ME
ACX1/5	WOUND-INDUCED JA ACCUMULATION
ATPRR1	(+)- AND (-)-PINORESINOLS
ATMAP65-1	CYTOKINESIS
TUDOR-SN (TSN)	RNA-INDUCED SILENCING COMPLEX
MSD2	SOD ACTIVITY
KOIN	CELL DIVISIONS
LIPID A	SECOND ROS BURST
ETO1 EOL1 EOL2 MUTANT	ACS INHIBITOR, SILVER
SUN PROTEINS	KASH PROTEINS
SND4/ANAC075	SECONDARY WALL-CONTAINING CELLS
PPC1/PPC2 MUTANT	STARCH AND SUCROSE
RIBOFLAVIN	VELOCITY
PUT5	THICKER FLOWERING STEMS
GAAP1/GAAP3	CELL DEATH
RDR2	POL IV
QQS	OTHER SEQUENCED SPECIES
MUM2	BETA-GALACTOSIDASE ACTIVITY
ESV1/LESV	GLUCAN STRUCTURES AT STARCH GRANULE SURFACE
ADO1	PHYB
TANMEI/ALT2	DNA INTEGRITY
DGS1-1	DGD1-INDEPENDENT GALACTOGLYCEROLIPID BIOSYNTHESIS PATHWAY
PBRP2	BI-PARENTAL REPRODUCTION
2B	RDR1-DEPENDENT VIRAL SIRNAS
TCS	SIGNAL OF CYTOKININ
NPR1-2	NIMIN PROTEINS
WIN1	DROUGHT TOLERANCE
SNAT1	MELATONIN
SN DOMAINS	TSN TO CYTOPLASMIC MRNA COMPLEXES
NATA COMPLEX	HIGHER EUKARYOTES
AMINO ACID RACEMASE	PYRIDOXAL 5'-PHOSPHATE
OPTIMAL PH	6.5
PERK4	ABA
IAP1	SA ACCUMULATION
BGLC1	XYLOGLUCAN METABOLISM
PEPTIDES	POLLEN TUBE GUIDANCE
AT1G07050	SALICYLIC ACID SIGNALLING
ELF6/REF6	BR TARGET GENES
ATCPK11	ATDI19
PCN	MONOPTEROS EXPRESSION
ACBP2	LYSOPC
JAZ	MYC2
ABI3/ABI5	APX6
ECA1	PLANT GROWTH
MDF	WUS EXPRESSION DOMAIN
AT3G29590 GENE TRANSCRIPT	DECREASE OF MALONYLATED ANTHOCYANINS
HYP FACTOR	GUS REPORTER GENE
TMM	STOMATAL INITIATION POSITIVELY/NEGATIVELY
BCP1	SOG1
ASA	MIOX4
LNCCOBRA1	GERMINATION
SIL1 AND SIL2 MUTATIONS	GENE SILENCING
CSU1	COP1
SPPA	270 KDA COMPLEX
AGL20	SHOOT APICAL MERISTEMS
MOS7	NUCLEAR ENVELOPE
AXR1	DROUGHT RESPONSES
ATNAC	NAC DOMAIN
ESD4	ATSUMO PRECURSOR
CPP1	DARK-OPERATIVE PCHLIDE OXIDOREDUCTASE
SDS-PAGE	DIFFERENCES
CCA1	LHY
ATDPL1	TRANSPIRATION RATE
ATCNGC2/4	TRK1,2
PRR5-11 PRR7-11	HYPOSENSITIVITY TO RED LIGHT
EXPO	ROOT TIPS, ROOT HAIR CELLS, POLLEN GRAINS
CDKG1	PRE-MRNA SPLICING
HYG(R)	HYG(R)-GFP
MRL1	PROCESSED TRANSCRIPT
